QID,Wikipedia_Title
Q492467,University of Auckland
Q213437,Óscar Cardozo
Q923088,Stefano Pioli
Q49115,Cornell University
Q2615689,Stoycho Mladenov
Q558575,Mohamed Abdullahi Mohamed
Q22360,Lisa Murkowski
Q1826600,Cintura Line
Q192031,Kakha Kaladze
Q5530861,Gen Shoji
Q1987493,Omari Tetradze
Q497594,Young Union
Q11685764,Andrej Plenković
Q15199,Jack Wilshere
Q192083,Philadelphia Flyers
Q1114037,Keith Hill (footballer)
Q2739,AS Roma
Q1097511,J. J. Watt
Q805,Yemen
Q21205379,Comilla Victorians
Q131252,University of Chicago
Q256249,Pauline Marois
Q1470302,"People's Freedom Party ""For Russia without Lawlessness and Corruption"""
Q376580,Adri van der Poel
Q180950,Oklahoma City Thunder
Q273263,RWTH Aachen University
Q311954,Sandro Rosell
Q74046054,Forward (Denmark)
Q6866360,Minister of State for Immigration
Q4665896,Abdulla Yameen
Q18708,Fulham F.C.
Q380115,Michal Bílek
Q32732,Malala Yousafzai
Q83324,Sibiu
Q9213751,ACS Poli Timișoara
Q80845,SC Internacional
Q1195237,Mumbai Indians
Q153786,Edin Džeko
Q494247,University of Rouen Normandy
Q901724,Ferenc Horváth
Q484909,Clarence Seedorf
Q4451142,Amy Adams (politician)
Q930870,Franco Gabrielli
Q7444412,Secretary of the Central Commission for Discipline Inspection
Q4689844,African Leadership Academy
Q5337880,Edgewood Academy
Q564612,General counsel
Q459724,Mainz University of Applied Sciences
Q3589896,Belgium national under-19 football team
Q663127,Reinaldo Rueda
Q1030831,Jordy Nelson
Q179773,"Pedro (footballer, born 1987)"
Q39318,Naftali Bennett
Q646596,Club Puebla
Q7911466,Valeriy Baranov
Q11796971,Minister for Small Business (Australia)
Q12611266,Lee Dong-phil
Q59589738,N. Asokan
Q16227291,Joe Harris (basketball)
Q1357846,Tomasz Brożyna
Q499451,Rutgers University
Q28028665,Mery Zamora
Q529153,Fabio Baldato
Q954006,Jean-Paul Garraud
Q223527,Cleveland Browns
